FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.551445,POINT (16.359943288778155 48.24559467674976),Eduard-Pötzl-Gasse,4,19,551445,
MOTORRADABSTELLPLATZOGD.551446,POINT (16.341648873379466 48.203318724759015),Halbgasse,2,7,551446,
MOTORRADABSTELLPLATZOGD.551447,POINT (16.35253653538133 48.17556548560866),Kundratstraße,10,10,551447,
MOTORRADABSTELLPLATZOGD.551448,POINT (16.359239652915615 48.16943371300001),Malborghetgasse,4,10,551448,
MOTORRADABSTELLPLATZOGD.551449,POINT (16.34829499450021 48.22520682520557),Währinger Straße,10,18,551449,
MOTORRADABSTELLPLATZOGD.551450,POINT (16.354455491352432 48.19728077429387),Luftbadgasse,7,6,551450,
MOTORRADABSTELLPLATZOGD.551451,POINT (16.338033032089903 48.241945610248486),Hutweidengasse,6,19,551451,
MOTORRADABSTELLPLATZOGD.551452,POINT (16.39072625674749 48.26452447174685),Voltagasse,4,21,551452,
MOTORRADABSTELLPLATZOGD.551453,POINT (16.389020973199717 48.26304566469835),Edisonstraße,7,21,551453,
MOTORRADABSTELLPLATZOGD.551454,POINT (16.348400756689156 48.207928378491076),Pfeilgasse,6,8,551454,
MOTORRADABSTELLPLATZOGD.551455,POINT (16.328768985009493 48.177016545101374),Ratschkygasse,7,12,551455,
MOTORRADABSTELLPLATZOGD.551456,POINT (16.320777609088378 48.21629330845158),Wichtelgasse,8,16,551456,
MOTORRADABSTELLPLATZOGD.551457,POINT (16.32382130568132 48.19044603206924),Mariahilfer Straße,42,15,551457,
MOTORRADABSTELLPLATZOGD.551458,POINT (16.323810279241176 48.19074117348734),Kauergasse,13,15,551458,
MOTORRADABSTELLPLATZOGD.551459,POINT (16.433515508974043 48.259065411569495),Viehtriftgasse,4,21,551459,
MOTORRADABSTELLPLATZOGD.551460,POINT (16.410604694030443 48.25287552939325),Nordmanngasse,4,21,551460,
MOTORRADABSTELLPLATZOGD.551461,POINT (16.46039088279575 48.1521121553062),Rosa-Jochmann-Ring,3,11,551461,
MOTORRADABSTELLPLATZOGD.551462,POINT (16.357504654582264 48.18171311241992),Leopold-Rister-Straße,9,5,551462,
MOTORRADABSTELLPLATZOGD.551463,POINT (16.36420819557483 48.18472566602542),Hauslabgasse,7,5,551463,
MOTORRADABSTELLPLATZOGD.551464,POINT (16.398801974046044 48.19542563125364),Rabengasse,8,3,551464,
MOTORRADABSTELLPLATZOGD.551465,POINT (16.367598113810462 48.18501218820511),Blechturmgasse,6,5,551465,
MOTORRADABSTELLPLATZOGD.551466,POINT (16.471523124052265 48.15256105915397),Dreherstraße,4,11,551466,
MOTORRADABSTELLPLATZOGD.551467,POINT (16.422571156896666 48.16423058992999),Lorystraße,7,11,551467,
MOTORRADABSTELLPLATZOGD.551468,POINT (16.349274206944738 48.193332817748285),Gumpendorfer Straße,7,6,551468,
MOTORRADABSTELLPLATZOGD.551469,POINT (16.345266100249585 48.18787816292848),Schönbrunner Straße,7,5,551469,
MOTORRADABSTELLPLATZOGD.551470,POINT (16.40288390254613 48.2563231521949),Schloßhofer Straße,4,21,551470,
MOTORRADABSTELLPLATZOGD.551471,POINT (16.457442446811264 48.25339903438693),Markomannenstraße,7,22,551471,
MOTORRADABSTELLPLATZOGD.551472,POINT (16.35189909261141 48.23341226088781),Werkmanngasse,8,19,551472,
MOTORRADABSTELLPLATZOGD.551473,POINT (16.36548294365557 48.19716084014401),Schleifmühlgasse,4,4,551473,
MOTORRADABSTELLPLATZOGD.551474,POINT (16.347937676093988 48.21155750600663),Fuhrmannsgasse,2,8,551474,
MOTORRADABSTELLPLATZOGD.551475,POINT (16.346294428199602 48.19042313819315),Dominikanergasse,10,6,551475,
MOTORRADABSTELLPLATZOGD.551476,POINT (16.395069051615067 48.143041612078854),Bahnlände,4,10,551476,
MOTORRADABSTELLPLATZOGD.551477,POINT (16.341908514407795 48.18958372179576),Mollardgasse,10,6,551477,
MOTORRADABSTELLPLATZOGD.551478,POINT (16.3513579243429 48.19699627546459),Blümelgasse,4,6,551478,
MOTORRADABSTELLPLATZOGD.551479,POINT (16.36195707439351 48.200974612113676),Gumpendorfer Straße,7,6,551479,
MOTORRADABSTELLPLATZOGD.551480,POINT (16.361111993469073 48.1977691189644),Linke Wienzeile,7,6,551480,
MOTORRADABSTELLPLATZOGD.551481,POINT (16.341473243226027 48.20538359139602),Halbgasse,6,7,551481,
MOTORRADABSTELLPLATZOGD.551482,POINT (16.34713047631689 48.20425063619633),Burggasse,4,7,551482,
MOTORRADABSTELLPLATZOGD.551483,POINT (16.339332214737247 48.209515384020534),Lerchenfelder Gürtel,2,8,551483,
MOTORRADABSTELLPLATZOGD.551484,POINT (16.344475302222996 48.19840395921516),Apollogasse,8,7,551484,
MOTORRADABSTELLPLATZOGD.551485,POINT (16.392051991429334 48.21196327224325),Obere Weißgerberstraße,6,3,551485,
MOTORRADABSTELLPLATZOGD.551486,POINT (16.310245838024212 48.21330142113499),Enenkelstraße,7,16,551486,
MOTORRADABSTELLPLATZOGD.551487,POINT (16.35757424335731 48.21195660415964),Ebendorferstraße,9,1,551487,
MOTORRADABSTELLPLATZOGD.551488,POINT (16.332436423697523 48.17969747493106),Hilschergasse,7,12,551488,
MOTORRADABSTELLPLATZOGD.551489,POINT (16.34050951330057 48.22684496491969),Währinger Straße,4,18,551489,
MOTORRADABSTELLPLATZOGD.551490,POINT (16.356565293317548 48.190220039529436),Bräuhausgasse,5,5,551490,
MOTORRADABSTELLPLATZOGD.551491,POINT (16.418282298724098 48.18571244994517),Guglgasse,9,3,551491,
MOTORRADABSTELLPLATZOGD.551492,POINT (16.413623363091624 48.18395150989702),Modecenterstraße,7,3,551492,
MOTORRADABSTELLPLATZOGD.551493,POINT (16.431533787778438 48.24161150951351),Donizettiweg,10,22,551493,
MOTORRADABSTELLPLATZOGD.551494,POINT (16.343005609755835 48.18945219168664),Hornbostelgasse,6,6,551494,
MOTORRADABSTELLPLATZOGD.551495,POINT (16.343073653139097 48.2250099763489),Schulgasse,7,18,551495,
MOTORRADABSTELLPLATZOGD.551496,POINT (16.390851263250337 48.14225147413983),Kurt-Tichy-Gasse,6,10,551496,
MOTORRADABSTELLPLATZOGD.551497,POINT (16.40235811431874 48.22660894494678),Wehlistraße,2,2,551497,
MOTORRADABSTELLPLATZOGD.551498,POINT (16.373425594820606 48.19455295698073),Argentinierstraße,9,4,551498,
MOTORRADABSTELLPLATZOGD.551499,POINT (16.441486154819387 48.25209053510785),Anton-Sattler-Gasse,4,22,551499,
MOTORRADABSTELLPLATZOGD.551500,POINT (16.383003597696604 48.17412082010887),Buchengasse,5,10,551500,
MOTORRADABSTELLPLATZOGD.551501,POINT (16.356529989606834 48.1902714590786),Bräuhausgasse,5,5,551501,
MOTORRADABSTELLPLATZOGD.551505,POINT (16.434502112829055 48.25294793988139),Ullreichgasse,8,22,551505,
MOTORRADABSTELLPLATZOGD.551506,POINT (16.319450599505572 48.22385342195853),Halirschgasse,4,17,551506,
MOTORRADABSTELLPLATZOGD.551507,POINT (16.319871073684556 48.22288662078844),Schadinagasse,6,17,551507,
MOTORRADABSTELLPLATZOGD.551508,POINT (16.472164411559685 48.234486114968846),Emichgasse,7,22,551508,
MOTORRADABSTELLPLATZOGD.551509,POINT (16.334571189073944 48.22363829220372),Weidmanngasse,6,17,551509,
MOTORRADABSTELLPLATZOGD.551510,POINT (16.349238473078746 48.19527773960313),Königseggasse,7,6,551510,
MOTORRADABSTELLPLATZOGD.551511,POINT (16.411437010936048 48.25683443837121),Siegfriedgasse,6,21,551511,
MOTORRADABSTELLPLATZOGD.551512,POINT (16.35563957258911 48.19628162443961),Linke Wienzeile,11,6,551512,
MOTORRADABSTELLPLATZOGD.551513,POINT (16.281541093877376 48.1769810901064),Jagdschloßgasse,4,13,551513,
MOTORRADABSTELLPLATZOGD.551514,POINT (16.36806817238269 48.15736945576665),Braheplatz,4,10,551514,
MOTORRADABSTELLPLATZOGD.551515,POINT (16.343289158205188 48.20022727278373),Schottenfeldgasse,4,7,551515,
MOTORRADABSTELLPLATZOGD.551516,POINT (16.281796489942863 48.135325443155736),Lehmanngasse,6,23,551516,
MOTORRADABSTELLPLATZOGD.551517,POINT (16.337142924395145 48.241226778320815),Saileräckergasse,5,19,551517,
MOTORRADABSTELLPLATZOGD.551518,POINT (16.458653033996058 48.15323625305702),Rosa-Jochmann-Ring,7,11,551518,
MOTORRADABSTELLPLATZOGD.551519,POINT (16.362742604748 48.198537310218),Linke Wienzeile,7,6,551519,
MOTORRADABSTELLPLATZOGD.551520,POINT (16.380302207569432 48.17639023675797),Wielandplatz,10,10,551520,
MOTORRADABSTELLPLATZOGD.551521,POINT (16.36710437685276 48.254211416219576),Kreilplatz,7,19,551521,
MOTORRADABSTELLPLATZOGD.551522,POINT (16.354111278594115 48.19133439898292),Rechte Wienzeile,4,5,551522,
MOTORRADABSTELLPLATZOGD.551523,POINT (16.391787972892967 48.17565747285098),Gudrunstraße,4,10,551523,
MOTORRADABSTELLPLATZOGD.551524,POINT (16.338334310659054 48.22884997330256),Hofstattgasse,5,18,551524,
MOTORRADABSTELLPLATZOGD.551525,POINT (16.392091617051673 48.21204305653944),Obere Weißgerberstraße,4,3,551525,
MOTORRADABSTELLPLATZOGD.551526,POINT (16.351014442248697 48.223434232023905),Prechtlgasse,5,9,551526,
MOTORRADABSTELLPLATZOGD.551527,POINT (16.3698627706468 48.252262996640574),Muthgasse,7,19,551527,
MOTORRADABSTELLPLATZOGD.551528,POINT (16.369774780433335 48.25129466792005),Holzgasse,8,19,551528,
MOTORRADABSTELLPLATZOGD.551529,POINT (16.338597620452195 48.21474396833591),Veronikagasse,4,17,551529,
MOTORRADABSTELLPLATZOGD.551530,POINT (16.360342623102145 48.19817643742834),Laimgrubengasse,7,6,551530,
MOTORRADABSTELLPLATZOGD.551531,POINT (16.33191005640502 48.23710379845755),Peter-Jordan-Straße,4,19,551531,
MOTORRADABSTELLPLATZOGD.551532,POINT (16.30407132829167 48.18837180655557),Nisselgasse,7,14,551532,
MOTORRADABSTELLPLATZOGD.551533,POINT (16.346422485390672 48.18834200607549),Schönbrunner Straße,4,5,551533,
MOTORRADABSTELLPLATZOGD.551534,POINT (16.365705609922998 48.18431546694928),Anzengrubergasse,7,5,551534,
MOTORRADABSTELLPLATZOGD.551535,POINT (16.368064615581932 48.248166183359245),Muthgasse,5,19,551535,
MOTORRADABSTELLPLATZOGD.551536,POINT (16.289124576022015 48.1423051102551),Steinergasse,4,23,551536,
MOTORRADABSTELLPLATZOGD.551537,POINT (16.467992411697022 48.15348336690261),Sängergasse,12,11,551537,
MOTORRADABSTELLPLATZOGD.551538,POINT (16.35268823488321 48.19799675883731),Schadekgasse,6,6,551538,
MOTORRADABSTELLPLATZOGD.551539,POINT (16.254844220080223 48.13034484783688),Willergasse,8,23,551539,
MOTORRADABSTELLPLATZOGD.551540,POINT (16.367245672946144 48.20741331381835),Habsburgergasse,7,1,551540,
MOTORRADABSTELLPLATZOGD.551541,POINT (16.336322884206083 48.22366769821984),Johann-Nepomuk-Vogl-Platz,5,18,551541,
MOTORRADABSTELLPLATZOGD.551542,POINT (16.35034497060057 48.19017695583522),Mollardgasse,7,6,551542,
MOTORRADABSTELLPLATZOGD.551543,POINT (16.34904070177087 48.189949872074344),Mollardgasse,7,6,551543,
MOTORRADABSTELLPLATZOGD.551544,POINT (16.346909522872245 48.18976788625813),Mollardgasse,9,6,551544,
MOTORRADABSTELLPLATZOGD.551545,POINT (16.343350879041616 48.192104618798616),Liniengasse,12,6,551545,
MOTORRADABSTELLPLATZOGD.551546,POINT (16.37548291057065 48.205468460113494),Weihburggasse,4,1,551546,
MOTORRADABSTELLPLATZOGD.551547,POINT (16.33233306137272 48.22553117407163),Lacknergasse,7,18,551547,
MOTORRADABSTELLPLATZOGD.551548,POINT (16.338934359753697 48.25566878886021),Mannagettagasse,5,19,551548,
MOTORRADABSTELLPLATZOGD.551549,POINT (16.338886163430804 48.20726188025624),Bernardgasse,9,7,551549,
MOTORRADABSTELLPLATZOGD.551550,POINT (16.352516503580645 48.15431752444156),Baron-Karl-Gasse,2,10,551550,
MOTORRADABSTELLPLATZOGD.551551,POINT (16.363087687091507 48.19988897097177),Lehargasse,7,6,551551,
MOTORRADABSTELLPLATZOGD.551552,POINT (16.357940396815707 48.23318955623558),Josef-Holaubek-Platz,7,9,551552,
MOTORRADABSTELLPLATZOGD.551553,POINT (16.361585203120693 48.24335202604393),Heiligenstädter Straße,4,19,551553,
MOTORRADABSTELLPLATZOGD.551554,POINT (16.35039863231287 48.209506821277486),Josefstädter Straße,4,8,551554,
MOTORRADABSTELLPLATZOGD.551555,POINT (16.4581942037227 48.22048188207006),Hardeggasse,7,22,551555,
MOTORRADABSTELLPLATZOGD.551556,POINT (16.348969181360673 48.194543554706236),Loquaiplatz,13,6,551556,
MOTORRADABSTELLPLATZOGD.551557,POINT (16.37247628270575 48.16991195517365),Hardtmuthgasse,6,10,551557,
MOTORRADABSTELLPLATZOGD.551558,POINT (16.39604875569791 48.22803229171734),Schweidlgasse,9,2,551558,
MOTORRADABSTELLPLATZOGD.551559,POINT (16.302422873174358 48.14848356202549),Josef-Österreicher-Gasse,4,23,551559,
MOTORRADABSTELLPLATZOGD.551560,POINT (16.391395577763543 48.147047260608105),Jura-Soyfer-Gasse,4,10,551560,
MOTORRADABSTELLPLATZOGD.551561,POINT (16.31128343454654 48.230907586539956),Czartoryskigasse,6,17,551561,
MOTORRADABSTELLPLATZOGD.551562,POINT (16.363882722868755 48.167253977738376),Neilreichgasse,7,10,551562,
MOTORRADABSTELLPLATZOGD.551563,POINT (16.528293855466185 48.21190283782988),Rosalia-Chladek-Gasse,6,22,551563,
MOTORRADABSTELLPLATZOGD.551564,POINT (16.357170570854915 48.22660816745348),Salzergasse,4,9,551564,
MOTORRADABSTELLPLATZOGD.551565,POINT (16.476616502301844 48.22379694597121),Aspernstraße,4,22,551565,
MOTORRADABSTELLPLATZOGD.551566,POINT (16.35412813509359 48.209201736099885),Josefstädter Straße,3,8,551566,
MOTORRADABSTELLPLATZOGD.551567,POINT (16.35069495574847 48.23682826135327),Hardtgasse,4,19,551567,
MOTORRADABSTELLPLATZOGD.551568,POINT (16.343687035574806 48.19215526736467),Liniengasse,12,6,551568,
MOTORRADABSTELLPLATZOGD.551569,POINT (16.345206930233186 48.21224371183298),Skodagasse,4,8,551569,
MOTORRADABSTELLPLATZOGD.551570,POINT (16.343415119881747 48.21071983606841),Josefstädter Straße,10,8,551570,
MOTORRADABSTELLPLATZOGD.551571,POINT (16.342241984987265 48.21093052083529),Bennogasse,4,8,551571,
MOTORRADABSTELLPLATZOGD.551572,POINT (16.36545082607761 48.24964946353814),Mooslackengasse,8,19,551572,
MOTORRADABSTELLPLATZOGD.551573,POINT (16.392097088123144 48.1960807209116),Boerhaavegasse,8,3,551573,
MOTORRADABSTELLPLATZOGD.551574,POINT (16.364739435562225 48.17708075992042),Karmarschgasse,4,10,551574,
MOTORRADABSTELLPLATZOGD.551575,POINT (16.36899903073562 48.20562443109385),Gluckgasse,4,1,551575,
MOTORRADABSTELLPLATZOGD.551576,POINT (16.368800228069148 48.2070572471639),Stallburggasse,4,1,551576,
MOTORRADABSTELLPLATZOGD.551577,POINT (16.448706540165077 48.16082071085614),Kaiser-Ebersdorfer Straße,4,11,551577,
MOTORRADABSTELLPLATZOGD.551578,POINT (16.412827675097844 48.180340825216966),Zippererstraße,4,11,551578,
MOTORRADABSTELLPLATZOGD.551579,POINT (16.372175053707213 48.21052709960929),Landskrongasse,11,1,551579,
MOTORRADABSTELLPLATZOGD.551580,POINT (16.388148583435115 48.14979520171783),Wendstattgasse,7,10,551580,
MOTORRADABSTELLPLATZOGD.551581,POINT (16.394630591760446 48.13648323065807),Hintere Liesingbachstraße,3,10,551581,
MOTORRADABSTELLPLATZOGD.551582,POINT (16.31171498869554 48.14100023339337),,2,23,551582,
MOTORRADABSTELLPLATZOGD.551583,POINT (16.381941893134396 48.199797392071574),Am Modenapark,2,3,551583,
MOTORRADABSTELLPLATZOGD.551584,POINT (16.318962054378055 48.181982089714616),Zenogasse,4,12,551584,
MOTORRADABSTELLPLATZOGD.551585,POINT (16.297653277918606 48.19598943534773),Felbigergasse,7,14,551585,
MOTORRADABSTELLPLATZOGD.551586,POINT (16.351220654446283 48.18747832290802),Kohlgasse,4,5,551586,
MOTORRADABSTELLPLATZOGD.551587,POINT (16.36222039637847 48.18302800980623),Geigergasse,3,5,551587,
MOTORRADABSTELLPLATZOGD.551588,POINT (16.31789523826906 48.22197489560429),Lienfeldergasse,5,17,551588,
MOTORRADABSTELLPLATZOGD.551589,POINT (16.405039054756525 48.17381570496564),Hauffgasse,4,11,551589,
MOTORRADABSTELLPLATZOGD.551590,POINT (16.404527846608456 48.17415582975423),Kremenetzkygasse,4,11,551590,
MOTORRADABSTELLPLATZOGD.551591,POINT (16.36941162514956 48.17695782158686),Pernerstorfergasse,4,10,551591,
MOTORRADABSTELLPLATZOGD.551592,POINT (16.394076864015883 48.19643958706803),Barmherzigengasse,2,3,551592,
MOTORRADABSTELLPLATZOGD.551593,POINT (16.342592012125646 48.21365485389147),Bennogasse,4,8,551593,
MOTORRADABSTELLPLATZOGD.551594,POINT (16.37107736054764 48.207623413312845),Seilergasse,7,1,551594,
MOTORRADABSTELLPLATZOGD.551595,POINT (16.305908693161214 48.196089242275825),Missindorfstraße,7,14,551595,
MOTORRADABSTELLPLATZOGD.551596,POINT (16.341450605817688 48.197289439230914),Kaiserstraße,3,7,551596,
MOTORRADABSTELLPLATZOGD.551597,POINT (16.352943821744216 48.175655714898895),Kundratstraße,4,10,551597,
MOTORRADABSTELLPLATZOGD.551598,POINT (16.41402238206049 48.17083827184025),Lorystraße,3,11,551598,
MOTORRADABSTELLPLATZOGD.551599,POINT (16.41002616425713 48.1828027276173),Molitorgasse,7,11,551599,
MOTORRADABSTELLPLATZOGD.551600,POINT (16.35023165576232 48.181692507451416),Fendigasse,7,5,551600,
MOTORRADABSTELLPLATZOGD.551601,POINT (16.368133407953895 48.15742225317792),Herschelgasse,3,10,551601,
MOTORRADABSTELLPLATZOGD.551602,POINT (16.2870624504912 48.175000152552556),Fasangartengasse,3,13,551602,
MOTORRADABSTELLPLATZOGD.551603,POINT (16.32264509985776 48.2222558947634),Nesselgasse,7,17,551603,
MOTORRADABSTELLPLATZOGD.551604,POINT (16.322108706310814 48.22372749046068),Richthausenstraße,7,17,551604,
MOTORRADABSTELLPLATZOGD.551605,POINT (16.409952329161033 48.17393454924204),Ehamgasse,7,11,551605,
MOTORRADABSTELLPLATZOGD.551606,POINT (16.42084321819675 48.16304766371486),Am Kanal,6,11,551606,
MOTORRADABSTELLPLATZOGD.551607,POINT (16.314331704022973 48.2240673236275),Hernalser Hauptstraße rechte Nebenfahrbahn,7,17,551607,
MOTORRADABSTELLPLATZOGD.551608,POINT (16.319624531768806 48.19739871003752),Eduard-Sueß-Gasse,6,15,551608,
MOTORRADABSTELLPLATZOGD.551609,POINT (16.4129072261918 48.1729091026805),Lorystraße,7,11,551609,
MOTORRADABSTELLPLATZOGD.551610,POINT (16.38303857019257 48.18641045256129),Schweizer-Garten-Straße,10,3,551610,
MOTORRADABSTELLPLATZOGD.551502,POINT (16.345611432971562 48.214210999410795),Feldgasse,4,8,551502,
MOTORRADABSTELLPLATZOGD.551503,POINT (16.422614347181124 48.16420883422593),Lorystraße,12,11,551503,
MOTORRADABSTELLPLATZOGD.551504,POINT (16.46462820903473 48.15794617325991),Paulasgasse,4,11,551504,
